,color_cleaned
Black,0.3052109181141439
White,0.17866004962779156
Grey,0.17866004962779156
Silver,0.14392059553349876
Blue,0.09429280397022333
Brown,0.03970223325062035
Red,0.03225806451612903
Gold,0.007444168734491315
Orange,0.004962779156327543
Schwarz,0.004962779156327543
Beige,0.004962779156327543
Green,0.0024813895781637717
Yellow,0.0024813895781637717
