,category
Saloon,0.35207823960880197
Estate Car,0.1980440097799511
SUV / Off-road Vehicle / Pickup Truck,0.14425427872860636
Cabriolet / Roadster,0.12224938875305623
Van / Minibus,0.09535452322738386
Sports Car / Coupe,0.061124694376528114
Small Car,0.014669926650366748
Other,0.009779951100244499
Limousine,0.0024449877750611247
